,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,,,,,,,,,,,,,,,cocoa powder,," 0,43 ", 43 , 430 ," 2,2 "," 6,5 "," 12,7 "," 28,3 ", 102 , 203 , 407 , 1.628 ,1,453
,,,,,,,,,,,,,,,"coconut, shredded",," 0,32 ", 32 , 320 ," 1,6 "," 4,8 "," 9,5 "," 28,3 ", 76 , 151 , 303 , 1.211 ,1,453
,,,,,,,,,,,,,,,"coffee, ground",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,"coffee, instant",," 0,23 ", 23 , 230 ," 1,2 "," 3,5 "," 6,8 "," 28,3 ", 54 , 109 , 218 , 871 ,1,453
,,,,,,,,,,,,,,,coriander seed,," 0,33 ", 33 , 333 ," 1,7 "," 5,0 "," 9,9 "," 28,3 ", 79 , 158 , 315 , 1.262 ,1,453
,,,,,,,,,,,,,,,"corn, sweet yellow, raw",," 0,61 ", 61 , 613 ," 3,1 "," 9,2 "," 18,1 "," 28,3 ", 145 , 290 , 580 , 2.320 ,1,453
,,,,,,,,,,,,,,,cornmeal,," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,,,,,,,,,,,,,,,cornstarch (cornflour),," 0,59 ", 59 , 590 ," 3,0 "," 8,9 "," 17,4 "," 28,3 ", 140 , 279 , 558 , 2.233 ,1,453
,,,,,,,,,,,,,,,cracker crumbs,," 0,25 ", 25 , 250 ," 1,3 "," 3,8 "," 7,4 "," 28,3 ", 59 , 118 , 237 , 946 ,1,453
,,,,,,,,,,,,,,,"cranberries, raw, chopped",," 0,46 ", 46 , 465 ," 2,3 "," 7,0 "," 13,8 "," 28,3 ", 110 , 220 , 440 , 1.760 ,1,453
,,,,,,,,,,,,,,,"cranberries, raw, whole",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,cream,," 1,01 ", 101 , 1.010 ," 5,1 "," 15,2 "," 29,9 "," 28,3 ", 239 , 478 , 956 , 3.823 ,1,453
,,,,,,,,,,,,,,,cream of tartar,," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,cream of wheat,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"crisco, melted",," 0,89 ", 89 , 890 ," 4,5 "," 13,4 "," 26,3 "," 28,3 ", 211 , 421 , 842 , 3.369 ,1,453
,,,,,,,,,,,,,,,"crisco, solid",," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,"cumin seed, whole",," 0,40 ", 40 , 400 ," 2,0 "," 6,0 "," 11,8 "," 28,3 ", 95 , 189 , 379 , 1.514 ,1,453
,,,,,,,,,,,,,,,currants,," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,curry powder,," 0,43 ", 43 , 430 ," 2,2 "," 6,5 "," 12,7 "," 28,3 ", 102 , 203 , 407 , 1.628 ,1,453
,,,,,,,,,,,,,,,"dates, chopped",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,dill seed,," 0,44 ", 44 , 440 ," 2,2 "," 6,6 "," 13,0 "," 28,3 ", 104 , 208 , 416 , 1.666 ,1,453
,,,,,,,,,,,,,,,egg,"60,5"," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,,,,,,,,,,,,,,,egg noodles,," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,egg white,"34,5"," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,egg yolk,20," 1,14 ", 114 , 1.140 ," 5,7 "," 17,1 "," 33,7 "," 28,3 ", 270 , 539 , 1.079 , 4.315 ,1,453
,,,,,,,,,,,,,,,"egg, beaten","60,5"," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
